customer_uid,imsi
3091-FYHKI,935478412
2372-HWUHI,560576652
7799-LGRDP,371251187
7850-VWJUU,478022453
3774-VBNXY,783214146
6217-KDYWC,698685048
0390-DCFDQ,487053348
3146-MSEGF,715527999
4080-OGPJL,730792450
1095-WGNGG,636793012
2636-SJDOU,828035493
1131-QQZEB,492656941
5716-EZXZN,830635404
6837-BJYDQ,147541391
2135-RXIHG,676197061
6440-DKQGE,497969540
3466-BYAVD,845262906
3780-YVMFA,239954704
3874-EQOEP,515561166
1679-JRFBR,362489930
9073-ZZIAY,947367467
3077-RSNTJ,909325208
6551-GNYDG,397004827
9167-APMXZ,272122997
2749-CTKAJ,486669046
6371-NZYEG,843146335
7554-NEWDD,734954275
8992-VONJD,712749154
0867-MKZVY,656081787
4482-EWFMI,447271774
4648-YPBTM,298347125
2907-ILJBN,598338565
6345-FZOQH,193791349
3376-BMGFE,537140242
5997-OPVFA,156286595
3445-HXXGF,860949135
1159-WFSGR,425350612
7654-YWJUF,122764723
1875-QIVME,707651700
6727-IOTLZ,753005196
0691-JVSYA,854087231
5918-VUKWP,693540952
1744-JHKYS,757840060
2656-FMOKZ,383802310
2070-FNEXE,761327370
5947-SGKCL,300151118
3712-PKXZA,674204973
6317-YPKDH,548599218
6582-OIVSP,685598468
9367-WXLCH,352574290
5524-KHNJP,923513489
1918-ZBFQJ,940882740
1024-GUALD,370985180
4827-USJHP,655456241
8167-GJLRN,652281894
0956-SYCWG,616295669
8017-UVSZU,288083374
7100-FQPRV,525157011
2472-OVKUP,887331193
2984-RGEYA,381582358
9680-NIAUV,813096467
2146-EGVDT,773061762
2604-IJPDU,953261511
9178-JHUVJ,869253260
6168-YBYNP,189363197
7255-SSFBC,382361633
3645-DEYGF,422047976
9323-HGFWY,577501619
8544-GOQSH,331409114
3363-DTIVD,218891657
7018-WBJNK,386741007
9142-KZXOP,642419265
7674-YTAFD,319087641
6348-SNFUS,727511588
1285-OKIPP,587898390
7825-ECJRF,313095440
1347-KTTTA,698139506
7841-TZDMQ,673792750
4195-NZGTA,667102335
7157-SMCFK,930023307
4709-LKHYG,504567397
2504-DSHIH,368073176
0699-NDKJM,798045032
9286-BHDQG,191540224
0230-WEQUW,239246749
2040-LDIWQ,441488749
6496-JDSSB,349082405
9408-SSNVZ,248055481
4443-EMBNA,741686803
6469-MRVET,951383748
0742-MOABM,961078031
5961-VUSRV,590720119
6778-JFCMK,341948138
6341-JVQGF,579618172
2232-DMLXU,522432037
4811-JBUVU,943798225
0945-TSONX,427015393
2651-ZCBXV,169674824
3316-UWXUY,317793878
8937-RDTHP,297881992
7083-MIOPC,142695718
1984-GPTEH,615477869
1251-KRREG,708782186
0621-JFHOL,917502532
9903-LYSAB,862310101
0094-OIFMO,681069417
9227-UAQFT,563863322
7301-ABVAD,869839378
6614-FHDBO,326316706
7576-ASEJU,766400231
9058-HRZSV,139161234
4522-AKYLR,570637111
0221-WMXNQ,368544872
0303-UNCIP,897070947
9947-OTFQU,959631501
0322-YINQP,771575262
0959-WHOKV,337395024
4075-JFPGR,809546328
4629-NRXKX,218887828
9514-JDSKI,480476180
3282-ZISZV,675995564
3675-YDUPJ,846670989
4111-BNXIF,427629013
7017-VFHAY,671809031
6655-LHBYW,786440112
4959-JOSRX,252720836
5046-NUHWD,310372343
7273-TEFQD,794087349
3606-TWKGI,889672600
7529-ZDFXI,944497602
7605-BDWDC,335902628
1950-KSVVJ,640132245
0123-CRBRT,152738955
6292-TOSSS,907339936
3197-ARFOY,766161635
6323-AYBRX,909137621
7014-ZZXAW,627896472
4385-GZQXV,527545206
7633-MVPUY,256520985
6366-ZGQGL,265275209
4716-HHKQH,920610580
5940-AHUHD,193632603
6432-TWQLB,566596660
4484-GLZOU,966471555
3179-GBRWV,321452668
8645-KWHJO,681466061
4130-MZLCC,253505867
0314-TKOSI,891928677
8229-MYEJZ,406145246
2080-SRCDE,874292139
9577-WJVCQ,954852293
9512-UIBFX,566765896
6202-DYYFX,706875878
3808-HFKDE,881394845
5583-SXDAG,564362679
3488-PGMQJ,372864162
3580-REOAC,687774099
7534-BFESC,823972871
3727-OWVYD,859102985
2294-SALNE,693537428
4847-TAJYI,437465221
1563-IWQEX,573619193
8203-XJZRC,881902549
6556-DBKZF,696374140
6851-WEFYX,405024614
2985-JUUBZ,369742745
6390-DSAZX,288007036
0895-LMRSF,478857560
8098-LLAZX,169372155
8266-VBFQL,424446566
8181-YHCMF,610997688
2240-HSJQD,449248578
1248-DYXUB,129262154
0265-EDXBD,428806942
4115-BNPJY,408164136
3167-SNQPL,660130565
4091-TVOCN,369366124
1098-TDVUQ,882620997
7277-OZCGZ,595651354
1557-EMYVT,651564537
2799-ARNLO,289099047
7563-BIUPC,806994598
5027-YOCXN,605838392
3973-SKMLN,185291029
2321-OMBXY,593077414
2840-XANRC,127330454
6745-JEFZB,797687200
5020-ZSTTY,321049041
9880-TDQAC,272089466
8705-WZCYL,910131630
7102-JJVTX,144200746
8626-PTQGE,472524319
4983-CLMLV,510348670
5701-YVSVF,785963579
5804-LEPIM,245459318
5697-GOMBF,670600928
2739-CACDQ,422178441
9385-EHGDO,403569944
9498-FIMXL,290865057
2379-GYFLQ,724904416
0122-OAHPZ,812321533
2868-SNELZ,538552523
4322-RCYMT,976732133
6680-NENYN,818832221
2088-IEBAU,599893067
7982-VCELR,671289753
1343-EHPYB,702410723
6035-BXTTY,723633693
6885-PKOAM,892459738
7520-HQWJU,663249369
9639-BUJXT,480286828
5924-SNGKP,892734868
0021-IKXGC,309229726
2034-GDRCN,152447271
8966-SNIZF,680950873
6243-OZGFH,788431562
4654-DLAMQ,432358293
0513-RBGPE,216726590
5160-UXJED,955881950
4115-NZRKS,487585731
0219-YTZUE,577303327
0623-IIHUG,596653846
4572-DVCGN,944610166
3351-NGXYI,380964771
8984-EYLLL,752448727
9057-MSWCO,265615078
9833-TGFHX,620694957
9294-TDIPC,979964382
5229-DTFYB,234836762
0104-PPXDV,286731475
5176-LMJXE,617844078
3583-KRKMD,791576979
1010-DIAUQ,868358654
9069-LGEUL,837385946
7302-ZHMHP,447998981
9571-EDEBV,688344094
3520-FJGCV,535478153
6563-VRERX,552622757
0259-GBZSH,663354146
6122-EFVKN,637002396
2805-EDJPQ,939085105
6862-CQUMB,683632259
7156-MXBJE,628187924
6158-HDPXZ,786863706
9601-BRXPO,158287864
2863-IMQDR,123016676
5686-CMAWK,336820352
5651-CRHKQ,306582432
6905-NIQIN,490225591
8204-YJCLA,454412590
5167-ZFFMM,863999964
6583-SZVGP,377546119
4895-TMWIR,279624895
0533-BNWKF,356360216
1708-PBBOA,927101890
8782-LKFPK,595524086
5522-JBWMO,159549458
3597-MVHJT,868629751
9774-NRNAU,968130487
0224-RLWWD,645449539
9967-ATRFS,582665315
3951-NJCVI,479760395
2977-CEBSX,620508425
0177-PXBAT,135174559
6599-CEBNN,677933899
2519-ERQOJ,161293133
5876-QMYLD,897747599
2277-AXSDC,374121416
9442-JTWDL,972652124
0979-PHULV,335819490
3067-SVMTC,947455804
5495-GPSRW,975282621
7606-BPHHN,773538411
4742-DRORA,386293103
0111-KLBQG,664434265
4800-VHZKI,284118653
7989-CHGTL,424148052
0334-GDDSO,494115258
4163-NCJAK,153788304
5233-AOZUF,172709255
5973-EJGDP,765040494
1996-DBMUS,501945316
7916-VCCPB,667429565
4686-GEFRM,692903663
5249-QYHEX,468797583
0578-SKVMF,262648044
5564-NEMQO,588149436
2233-FAGXV,538829458
5605-IYGFG,738265598
7663-ZTEGJ,768824478
3935-TBRZZ,343196019
8111-BKVDS,882921684
2055-SIFSS,899863452
2806-MLNTI,871350063
8734-DKSTZ,785650929
4360-PNRQB,371550081
6152-ONASV,942134558
9063-ZGTUY,661445446
7781-HVGMK,967526029
2181-UAESM,592838025
2957-LOLHO,966231528
6048-NJXHX,262307290
2320-SLKMB,297348649
4980-URKXC,260707234
4376-KFVRS,425813416
5886-VLQVU,413105095
3577-AMVUX,448826959
0771-WLCLA,561955066
5628-RKIFK,185050748
0206-TBWLC,507530556
2937-FTHUR,125191919
1910-FMXJM,969982975
7752-XUSCI,206941287
4110-PFEUZ,806955269
0732-OCQOC,676756968
5168-MSWXT,618397662
1090-ESELR,296988760
8592-PLTMQ,670499525
5760-WRAHC,651464294
8847-GEOOQ,593491033
0256-LTHVJ,905846102
4785-FCIFB,407762416
8313-NDOIA,565660101
5149-CUZUJ,324285555
0942-KOWSM,487681708
4237-CLSMM,190674712
1452-VOQCH,760186683
4719-UMSIY,450723741
6614-VBEGU,569945496
0880-TKATG,386976307
3811-VBYBZ,775859241
1480-BKXGA,370941376
2996-XAUVF,618040331
9076-AXYIK,421407552
5968-XQIVE,694101793
8896-RAZCR,871867742
4640-UHDOS,234245648
4933-IKULF,249325313
3583-EKAPL,540730851
1304-BCCFO,849634403
4104-PVRPS,333014121
9399-APLBT,354620745
2359-KMGLI,576007278
3780-DDGSE,518026126
4431-EDMIQ,597458948
0306-JAELE,565650808
6227-HWPWX,165491195
0486-LGCCH,340706862
0447-BEMNG,545137976
4612-SSVHJ,577528863
5168-MQQCA,528979238
5949-XIKAE,597441297
7971-HLVXI,267847028
9094-AZPHK,280210397
3649-JPUGY,747756214
4472-LVYGI,252075335
8372-JUXUI,657621239
3552-CTCYF,280400174
6778-YSNIH,761507726
0388-EOPEX,316658384
5756-OZRIO,639635974
6579-JPICP,163995942
8205-OTCHB,628450198
4134-BSXLX,557208450
0505-SPOOW,836547933
6235-VDHOM,483191680
7783-YKGDV,602303103
4374-YMUSQ,924633825
4513-CXYIX,469886847
3957-HHLMR,732833829
7803-XOCCZ,765967409
5736-YEJAX,222904584
5609-CEBID,371998266
8981-FJGLA,567112486
7218-HKQFK,263210346
4636-QRJKY,395380272
1135-LMECX,320027608
4332-MUOEZ,741148543
8535-SFUTN,627833440
5956-VKDTT,522824472
8677-HDZEE,764439568
2475-MROZF,339538722
9412-GHEEC,783467620
3482-ABPKK,195252316
6705-LXORM,543439388
0257-ZESQC,421393393
7531-GQHME,787984631
5174-ITUMV,308329525
4109-CYRBD,226800307
0913-XWSCN,499260056
6825-UYPFK,446394123
8397-MVTAZ,632911897
0750-EBAIU,967711400
8606-CIQUL,703964887
3571-DPYUH,583693296
7601-GNDYK,748623980
0356-OBMAC,306076632
8067-NIOYM,843798571
1403-GYAFU,492774587
4234-XTNEA,275098134
1297-VQDRP,889064644
9282-IZGQK,515244282
5348-CAGXB,580829552
0621-HJWXJ,536533395
5844-QVTAT,791793230
8905-IAZPF,380605756
5394-MEITZ,241166124
6859-QNXIQ,274292442
2782-LFZVW,233550608
2866-IKBTM,765077960
1342-JPNKI,566365916
2817-NTQDO,152098040
7129-AZJDE,394304659
6986-IJDHX,884002681
2560-PPCHE,352141324
4676-MQUEA,714158959
8138-EALND,401646169
3580-HYCSP,767955727
1352-HNSAW,536419787
2075-PUEPR,805836782
1982-FEBTD,948527376
5301-GAUUY,281397179
5791-KAJFD,182519845
2654-VBVPB,802144106
1154-HYWWO,437606916
2501-XWWTZ,804829120
3716-UVSPD,125394095
6815-ABQFQ,402161648
7343-EOBEU,926349242
3701-SFMUH,564970322
6103-LIANB,492567687
7319-VENRZ,859633648
5846-NEQVZ,272402282
6967-QIQRV,912669488
5781-RFZRP,204635524
0939-YAPAF,215858498
0308-IVGOK,942534261
7293-LSCDV,392139489
7025-WCBNE,726482109
5756-JYOJT,975280359
4710-FDUIZ,753124609
6030-REHUX,577593661
9548-LIGTA,724217047
5150-LJNSR,826444923
8270-RKSAP,410773011
6522-YRBXD,368035619
2640-LYMOV,695540744
1218-VKFPE,779920076
3627-FHKBK,848075029
2865-TCHJW,932155615
1423-BMPBQ,153089214
2393-DIVAI,964370038
5192-EBGOV,441249697
4568-KNYWR,478868570
8752-IMQOS,571456041
0742-LAFQK,777398969
0795-LAFGP,897879199
0619-OLYUR,855472538
5512-IDZEI,670647898
0459-SPZHJ,305634272
0215-BQKGS,189539608
9244-ZVAPM,212782412
0719-SYFRB,877534826
8208-EUMTE,864577366
5172-MIGPM,471719064
1710-RCXUS,645155212
0374-FIUCA,533732778
5839-SUYVZ,260153813
5173-ZXXXL,742047047
1096-ADRUX,565713351
2001-MCUUW,969399714
2731-GJRDG,685234255
4723-BEGSG,129799959
6516-NKQBO,789144866
8672-OAUPW,779683411
8207-DMRVL,422798986
3419-SNJJD,176165411
6543-CPZMK,666019864
4765-OXPPD,906819236
2804-ETQDK,764731778
6689-VRRTK,205062030
7138-GIRSH,244334858
9396-ZSFLL,768504008
6464-KEXXH,834511315
7134-MJPDY,956309376
5240-CAOYT,919295403
4059-IIEBK,686910230
4881-JVQOD,619909690
0516-UXRMT,767694201
4851-BQDNX,416683122
5148-HKFIR,349735579
1009-IRMNA,309792327
3003-CMDUU,943569160
5016-IBERQ,431130137
6797-UCJHZ,761277247
2469-DTSGX,736013932
4554-YGZIH,686475241
5099-BAILX,420148294
9931-KGHOA,419856758
1775-KWJKQ,950312575
7665-VIGUD,368815940
9411-TPQQV,828749868
7207-RMRDB,853510500
7954-MLBUN,799747932
2077-DDHJK,338212887
4913-EHYUI,226701799
0195-IESCP,480180576
9574-BOSMD,701773007
4580-TMHJU,178305386
0970-ETWGE,866356136
4908-XAXAY,630295225
8404-VLQFB,158172505
1626-ERCMM,355142750
0887-HJGAR,263237562
2391-IPLOP,175622922
5644-PDMZC,249857754
3509-GWQGF,614088368
9576-ANLXO,732316002
2024-BASKD,627678163
5845-BZZIB,742225078
1140-UKVZG,806281656
4160-AMJTL,838546789
5183-SNMJQ,659882586
8100-PNJMH,266214361
7838-LAZFO,960931820
4464-JCOLN,791076295
2085-JVGAD,787174893
5650-VDUDS,809453018
8095-WANWK,710637952
3030-ZKIWL,551286914
9565-FLVCG,470865917
8755-OGKNA,336971214
2800-VEQXM,636891135
7538-GWHML,386328987
5533-RJFTJ,266347409
3859-CVCET,187711871
0214-JHPFW,904352894
5642-MHDQT,448997162
3088-FVYWK,309193391
3276-HDUEG,677917200
9092-GDZKO,487805949
0823-HSCDJ,267808615
3729-OWRVL,183582017
2324-AALNO,685626487
0822-GAVAP,415039724
5760-IFJOZ,541237837
2826-UWHIS,573636118
1448-PWKYE,548941549
7501-IWUNG,622298537
4957-TREIR,446083092
7251-LJBQN,954662590
8040-MNRTF,187511610
1536-HBSWP,335476771
5313-FPXWG,170718377
0067-DKWBL,370406087
0946-FKYTX,968161355
5076-YVXCM,333169878
8262-COGGB,138581551
6663-JOCQO,603449335
9620-QJREV,520999023
2276-YDAVZ,592065444
2682-KEVRP,934473133
2480-JZOSN,355384387
0078-XZMHT,318966651
5896-NPFWW,188517313
9978-HYCIN,796534590
8338-QIUNR,191362276
1525-LNLOJ,470410971
9450-TRJUU,141125680
1766-GKNMI,188817092
6942-LBFDP,716200927
1456-TWCGB,694821141
7133-VBDCG,415131671
7596-ZYWBB,683333076
8329-UTMVM,858253201
3014-WJKSM,285466788
3347-YJZZE,802115168
1029-QFBEN,379521098
7929-DMBCV,744866053
9661-JALZV,839039729
5433-KYGHE,146175218
4312-KFRXN,910500195
5575-TPIZQ,622352461
0114-IGABW,865436466
9944-AEXBM,186244024
1853-ARAAQ,971283053
6952-OMNWB,796061619
4697-LUPSU,589955333
8434-VGEQQ,662687333
4952-YSOGZ,949222972
1589-AGTLK,630244088
5244-IRFIH,127049957
6549-YMFAW,659880034
4950-HKQTE,445681669
6786-OBWQR,208763106
2684-EIWEO,369866849
2753-JMMCV,223906222
6439-GTPCA,138079505
6621-YOBKI,952989423
1216-JWVUX,895793576
7564-GHCVB,381849528
1173-NOEYG,765445248
7595-EHCDL,732997877
6647-ZEDXT,654438522
2521-NPUZR,796491778
1307-TVUFB,793236610
7503-MIOGA,900467929
4381-MHQDC,161435929
6923-JHPMP,679849472
5138-WVKYJ,706659833
4018-PPNDW,530337515
1635-FJFCC,235107408
2499-AJYUA,194645999
6919-ELBGL,666922571
3966-HRMZA,274290651
6425-JWTDV,440836498
8405-IGQFX,496341856
8224-IVVPA,181610777
9477-LGWQI,805410241
1410-RSCMR,411056443
3115-CZMZD,620334101
0139-IVFJG,784317892
6683-VLCTZ,614613511
5730-DBDSI,723099000
0030-FNXPP,497718676
2189-WWOEW,917636995
5684-FJVYR,296895888
4013-GUXND,363325530
1894-IGFSG,313077314
7379-POKDZ,977794596
1266-NZYUI,798116201
7969-FFOWG,398501038
4718-DHSMV,751538384
5175-WLYXL,371273933
7817-OMJNA,564898903
8728-SKJLR,757155148
3137-NYQQI,329175807
7706-DZNKK,800817950
0236-HFWSV,331430556
3900-AQPHZ,792958940
5842-POCOP,356394663
2037-XJFUP,577258448
8823-RLPWL,498851771
9505-SQFSW,542346382
7314-OXENN,608303322
3758-CKOQL,727193170
0322-CHQRU,465490294
5676-CFLYY,188064718
7521-AFHAB,888960133
0285-INHLN,958918437
4678-DVQEO,142226485
5125-CNDSP,407591701
0691-IFBQW,470264474
4992-LTJNE,558965226
2202-OUTMO,564608062
0810-BDHAW,584212476
0229-LFJAF,265962225
7131-ZQZNK,703475689
3442-ZHHCC,497726627
5726-CVNYA,392464500
9871-ELEYA,557926306
4257-GAESD,380197385
5173-WXOQV,124425398
2040-OBMLJ,719941780
6286-ZHAOK,301488351
3807-XHCJH,772850256
3009-JWMPU,196143692
5671-RQRLP,540223259
1450-GALXR,140584295
8859-AXJZP,870928219
3174-AKMAS,373282416
3138-BKYAV,535065963
9926-PJHDQ,564658445
7382-DFJTU,752759231
2798-NYLMZ,815402315
4289-DTDKW,799730312
1820-TQVEV,808121424
2239-JALAW,397582939
4853-RULSV,572248545
8098-TDCBU,828521074
3551-GAEGL,855125165
4785-NKHCX,412127952
3196-NVXLZ,291090563
6275-YDUVO,563948450
0036-IHMOT,393739971
0115-TFERT,266249895
4178-EGMON,878553020
4220-TINQT,262272982
5318-YKDPV,973473942
7975-TZMLR,288706850
0295-QVKPB,125393765
4335-BSMJS,225270256
2311-QYMUQ,575486101
3643-AHCFP,506716030
9146-JRIOX,808795617
3104-OWCGK,710455135
5337-IIWKZ,728227182
9101-BWFSS,922615103
9650-VBUOG,881154069
3487-EARAT,588456684
2672-TGEFF,310856893
9231-ZJYAM,739044940
4250-WAROZ,728126096
8184-WMOFI,605882169
6982-SSHFK,126956435
6092-QZVPP,929520112
4625-LAMOB,827088875
0727-BMPLR,200569494
0392-BZIUW,868963403
1038-ZAGBI,596345962
6549-NNDYT,837364600
3027-ZTDHO,980294199
0422-OHQHQ,776357187
6916-HIJSE,256333878
2316-ESMLS,379205306
9778-OGKQZ,339819362
7408-OFWXJ,369744852
6007-TCTST,754402504
2252-NKNSI,838992805
8713-IGZSO,804285686
7905-TVXTA,162684946
7695-PKLCZ,308223652
2382-BCKQJ,911794896
8374-UULRV,131127982
2207-NHRJK,861289810
3224-DFQNQ,710874801
5275-PMFUT,224702938
4795-UXVCJ,682899783
9777-IQHWP,661504226
0947-MUGVO,486460974
9944-HKVVB,257994153
4124-MMETB,350215929
3671-SHRSP,806974277
0979-MOZQI,532576432
2732-ISEZX,865350158
3313-QKNKB,674874217
0323-XWWTN,896782387
1937-OTUKY,229871830
1573-LGXBA,230516309
1764-VUUMT,545610645
5073-WXOYN,755460645
4713-ZBURT,840711077
3050-GBUSH,408385909
0207-MDKNV,506459684
7876-AEHIG,568615872
7945-HLKEA,520328586
9342-VNIMQ,605094526
9851-KIELU,570081235
3523-BRGUW,616740025
3908-BLSYF,513698366
3199-NPKCN,793635382
5170-PTRKA,947217331
4661-NJEUX,563044448
2123-AGEEN,288407260
1258-YMZNM,197595376
0048-LUMLS,177033205
7549-MYGPK,794105440
5898-IGSLP,836810970
3804-RVTGV,597786736
6259-WJQLC,235760942
9227-LUNBG,810153164
7997-EASSD,609463041
0730-KOAVE,383483911
8975-SKGRX,964878917
0678-RLHVP,867505679
4315-MURBD,822615817
2267-FPIMA,579631667
1051-GEJLJ,134601063
9734-YWGEX,237810774
2719-BDAQO,323172730
5285-MVEHD,923308331
0379-DJQHR,358935790
0781-LKXBR,885258741
5543-QDCRY,179737384
0297-RBCSG,303738905
4694-PHWFW,529781924
0835-JKADZ,307189477
1907-UBQFC,969267415
7508-SMHXL,379574402
3865-YIOTT,888146172
5993-BQHEA,598273051
6024-RUGGH,554409203
6513-EECDB,773559863
3956-CJUST,967931701
4079-WWQQQ,531381983
6103-BOCOU,840747543
5149-TGWDZ,386293390
7471-WNSUF,904899913
8942-DBMHZ,382984274
4301-VVZKA,432071827
9199-PWQVC,484601702
4824-GUCBY,477871420
5393-HJZSM,359679971
7074-IEVOJ,776408341
9625-QSTYE,601901161
0862-PRCBS,954387552
8812-ZRHFP,929511026
5146-CBVOE,164914444
0454-OKRCT,547026947
5787-KXGIY,824910123
4750-ZRXIU,170655702
4198-VFOEA,501108944
6630-UJZMY,129921119
5709-LVOEQ,257782164
6400-BWQKW,594169565
2692-AQCPF,399306098
0347-UBKUZ,549855457
0835-DUUIQ,509151283
0811-GSDTP,887209683
7567-ECMCM,129853943
6115-ZTBFQ,347262415
6353-BRMMA,133113791
6680-WKXRZ,774391243
6231-WFGFH,306139425
9904-EHEVJ,140275472
7028-DVOIQ,764432027
6169-PPETC,324006101
4208-UFFGW,428890448
8584-KMVXD,606631699
8467-WYNSR,374249816
0851-DFJKB,364927336
5382-SOYZL,884879980
9448-REEVD,127732148
3261-CQXOL,369408037
8388-FYNPZ,215225392
4002-BQWPQ,863789833
5651-YLPRD,222769915
2826-DXLQO,644575579
4378-BZYFP,441773030
9489-UTFKA,162971550
4849-PYRLQ,321075769
9117-SHLZX,210678354
9889-TMAHG,883440829
4541-RMRLG,797048915
7764-BDPEE,136461590
3429-IFLEM,582734679
3158-MOERK,770565161
7294-TMAOP,766958149
5002-GCQFH,532179759
0556-FJEGU,744819084
8919-FYFQZ,160951369
0604-THJFP,444598442
2834-JRTUA,507065070
5875-YPQFJ,151440062
5879-SESNB,485791558
6646-QVXLR,628334902
6461-PPAXN,549318852
3318-ISQFQ,316984375
1106-HRLKZ,516769131
2483-XSSMZ,466734484
8603-IJWDN,464997317
8165-ZJRNM,161249067
9369-XFEHK,868439756
2604-XVDAM,412215135
3717-OFRTN,355109403
9046-JBFWA,409463793
3280-NMUVX,425133222
1206-EHBDD,214298216
8361-LBRDI,243649100
4883-KCPZJ,816937065
9108-EQPNQ,423650937
7277-KAMWT,951068543
3842-IYKUE,852581851
6641-XRPSU,624584727
1374-DMZUI,394693918
2545-LXYVJ,161205101
3234-VKACU,498292156
8357-EQXFO,191338164
1989-PRJHP,801443043
8120-JDCAM,690400039
8917-FAEMR,706030890
7047-YXDMZ,754843784
2858-EIMXH,680079690
9524-EGPJC,509705879
6993-OHLXR,710586888
8818-XYFCQ,265678616
6419-ZTTLE,235644334
0929-HYQEW,849129477
6614-YOLAC,123749869
7426-RHZGU,608600091
4065-JJAVA,899905825
4695-VADHF,309589181
3863-IUBJR,493630833
7649-SIJJF,384629318
9361-YNQWJ,462473019
3748-FVMZZ,582119050
9391-TTOYH,472663057
1452-XRSJV,273843641
3422-WJOYD,391920959
8242-SOQUO,951371242
7460-ITWWP,781422035
7147-AYBAA,448098532
7868-TMWMZ,709908687
4822-RVYBB,715361811
6732-FZUGP,966931692
8436-BJUMM,614885692
4184-TJFAN,705203195
8329-GWVPJ,704266284
1352-VHKAJ,876021083
4145-UQXUQ,504173234
2632-TACXW,149497216
8146-QQKZH,795506682
1767-CJKBA,787160153
6445-TNRXS,674563916
4581-LNWUM,614177097
4869-EPIUS,622130338
9948-YPTDG,638187749
1236-WFCDV,231697382
1915-OAKWD,418315297
7296-PIXQY,680696465
4883-QICIH,341530990
3354-OADJP,781255273
3524-WQDSG,709119959
0810-DHDBD,525606058
4026-SKKHW,910717042
2829-HYVZP,434648980
8329-IBCTI,964920610
1271-SJBGZ,174974481
3845-JHAMY,356557157
7013-PSXHK,166359919
5669-SRAIP,776453979
5981-ITEMU,221024011
3486-NPGST,495502317
6941-PMGEP,507750874
1624-WOIWJ,204096543
2074-GKOWZ,731179576
0376-YMCJC,721751107
6100-FJZDG,874820217
4829-ZLJTK,320871788
1730-VFMWO,653604573
7143-BQIBA,320604408
3800-LYTRK,273951561
0634-SZPQA,944785177
9646-NMHXE,303242555
7030-NJVDP,366277410
5536-RTPWK,652166557
8883-GRDWQ,181328844
